Student Survey,"","","","","","","","","","","","","","",Employee Survey,"","","","","","","","","","","","","","","","","","","","","","","","","","","",Guardian Surveys,"","","","","","","","","","","","","","","","","","","","","","","",""
08X312 - Millennium Art Academy,,68.0,82.0,79.0,94.0,85.0,95.0,94.0,77.0,70.0,89.0,70.0,63.0,82.0,90.0,,88.0,,,71.0,97.0,93.0,,100.0,98.0,91.0,94.0,99.0,95.0,89.0,94.0,95.0,79.0,,96.0,86.0,88.0,95.0,,93.0,92.0,94.0,,,,,,,,,,,,,,,,,,98.0,99.0,100.0,98.0,94.0,99.0,99.0,94.0,
08X320 - Pelham Lab High School,,64.0,71.0,68.0,87.0,80.0,84.0,87.0,66.0,51.0,73.0,59.0,52.0,66.0,81.0,,88.0,,,68.0,97.0,99.0,,98.0,100.0,82.0,91.0,96.0,94.0,66.0,90.0,86.0,73.0,,91.0,49.0,90.0,96.0,,77.0,89.0,98.0,,,,,,,,,,,,,,,,,,94.0,89.0,96.0,96.0,90.0,95.0,96.0,93.0,
08X337 - The School for Inquiry and Social Justice,,62.0,69.0,67.0,78.0,78.0,82.0,79.0,65.0,51.0,79.0,59.0,57.0,56.0,78.0,,87.0,,,47.0,77.0,89.0,,78.0,98.0,76.0,92.0,98.0,88.0,26.0,81.0,87.0,51.0,,70.0,58.0,78.0,84.0,,61.0,84.0,89.0,,,,,,,,,,,,,,,,,,91.0,88.0,93.0,90.0,81.0,92.0,93.0,85.0,
08X348 - Schuylerville Preparatory High School,,61.0,73.0,69.0,84.0,76.0,86.0,88.0,65.0,61.0,81.0,63.0,56.0,76.0,80.0,,91.0,,,78.0,89.0,97.0,,96.0,93.0,52.0,85.0,96.0,86.0,75.0,82.0,77.0,60.0,,77.0,73.0,79.0,,,64.0,71.0,70.0,,,,,,,,,,,,,,,,,,89.0,78.0,91.0,87.0,81.0,93.0,91.0,84.0,
08X349 - Bronx River High School,,70.0,81.0,78.0,90.0,84.0,93.0,92.0,75.0,55.0,85.0,73.0,61.0,78.0,86.0,,88.0,,,53.0,81.0,92.0,,99.0,93.0,74.0,91.0,98.0,87.0,36.0,88.0,88.0,59.0,,81.0,41.0,74.0,89.0,,76.0,87.0,82.0,,,,,,,,,,,,,,,,,,95.0,94.0,98.0,94.0,91.0,98.0,97.0,89.0,
"08X367 - Archimedes Academy for Math, Science and Technology Applications",,55.0,61.0,61.0,77.0,74.0,86.0,80.0,58.0,54.0,76.0,48.0,56.0,60.0,76.0,,89.0,,,58.0,80.0,87.0,,88.0,95.0,67.0,94.0,92.0,91.0,59.0,82.0,77.0,62.0,,87.0,76.0,60.0,93.0,,56.0,90.0,81.0,,,,,,,,,,,,,,,,,,97.0,95.0,97.0,94.0,91.0,98.0,96.0,94.0,
08X371 - Urban Institute of Mathematics,,66.0,72.0,73.0,78.0,84.0,88.0,82.0,68.0,52.0,81.0,58.0,61.0,62.0,83.0,,90.0,,,79.0,90.0,94.0,,97.0,98.0,86.0,98.0,96.0,93.0,66.0,93.0,85.0,79.0,,93.0,82.0,88.0,95.0,,85.0,96.0,88.0,,,,,,,,,,,,,,,,,,99.0,99.0,99.0,98.0,84.0,100.0,99.0,98.0,
08X375 - The Bronx Mathematics Preparatory School,,65.0,64.0,70.0,77.0,75.0,85.0,84.0,65.0,45.0,75.0,60.0,58.0,53.0,78.0,,90.0,,,63.0,74.0,93.0,,98.0,97.0,80.0,91.0,96.0,98.0,32.0,93.0,96.0,66.0,,97.0,61.0,79.0,98.0,,58.0,93.0,96.0,,,,,,,,,,,,,,,,,,85.0,88.0,89.0,88.0,79.0,88.0,88.0,88.0,
08X376 - Antonia Pantoja Preparatory Academy: A College Board School,,62.0,62.0,67.0,80.0,77.0,88.0,87.0,62.0,53.0,75.0,57.0,54.0,61.0,78.0,,94.0,,,60.0,97.0,94.0,,97.0,99.0,90.0,100.0,96.0,99.0,61.0,96.0,99.0,66.0,,99.0,76.0,82.0,99.0,,77.0,99.0,95.0,,,,,,,,,,,,,,,,,,96.0,96.0,98.0,96.0,94.0,97.0,96.0,96.0,
08X377 - Bronx Community High School,,75.0,88.0,83.0,89.0,89.0,91.0,84.0,82.0,75.0,92.0,81.0,71.0,89.0,92.0,,97.0,,,78.0,91.0,98.0,,100.0,100.0,86.0,98.0,96.0,91.0,91.0,82.0,97.0,73.0,,91.0,91.0,86.0,,,74.0,90.0,100.0,,,,,,,,,,,,,,,,,,100.0,,98.0,99.0,97.0,100.0,100.0,91.0,
08X405 - Herbert H. Lehman High School,,62.0,67.0,70.0,85.0,78.0,90.0,90.0,67.0,50.0,74.0,54.0,54.0,65.0,81.0,,86.0,,,67.0,94.0,92.0,,96.0,96.0,79.0,90.0,93.0,88.0,54.0,74.0,86.0,67.0,,92.0,46.0,82.0,90.0,,80.0,94.0,94.0,,,,,,,,,,,,,,,,,,89.0,89.0,95.0,90.0,84.0,95.0,94.0,87.0,
08X424 - Bronx Academy for Multi-Media,,71.0,81.0,78.0,87.0,90.0,95.0,90.0,78.0,60.0,86.0,66.0,73.0,73.0,86.0,,97.0,,,70.0,88.0,94.0,,100.0,100.0,65.0,100.0,99.0,96.0,58.0,97.0,97.0,62.0,,89.0,77.0,91.0,98.0,,70.0,99.0,91.0,,,,,,,,,,,,,,,,,,98.0,95.0,99.0,97.0,95.0,98.0,98.0,95.0,
08X432 - Bronx Bridges High School,,64.0,75.0,71.0,84.0,83.0,87.0,82.0,72.0,55.0,81.0,67.0,59.0,68.0,81.0,,93.0,,,79.0,83.0,94.0,,98.0,99.0,91.0,83.0,96.0,88.0,86.0,86.0,90.0,83.0,,87.0,92.0,86.0,96.0,,72.0,83.0,86.0,,,,,,,,,,,,,,,,,,99.0,100.0,99.0,99.0,95.0,99.0,99.0,99.0,
08X448 - Soundview Academy for Culture and Scholarship,,68.0,62.0,68.0,77.0,84.0,89.0,85.0,67.0,41.0,78.0,57.0,57.0,55.0,79.0,,82.0,,,60.0,67.0,85.0,,91.0,99.0,59.0,77.0,89.0,87.0,6.0,71.0,69.0,54.0,,59.0,61.0,75.0,,,53.0,58.0,60.0,,,,,,,,,,,,,,,,,,95.0,86.0,95.0,93.0,84.0,94.0,96.0,93.0,
08X452 - Gotham Collaborative High School,,70.0,80.0,74.0,88.0,86.0,93.0,88.0,74.0,63.0,87.0,73.0,63.0,80.0,86.0,,91.0,,,53.0,85.0,91.0,,100.0,100.0,91.0,95.0,97.0,97.0,89.0,93.0,93.0,60.0,,87.0,69.0,90.0,100.0,,93.0,91.0,91.0,,,,,,,,,,,,,,,,,,96.0,98.0,100.0,99.0,84.0,100.0,99.0,95.0,
08X467 - Mott Hall Community School,,60.0,68.0,68.0,80.0,75.0,85.0,85.0,64.0,52.0,83.0,62.0,58.0,63.0,78.0,,96.0,,,65.0,96.0,98.0,,100.0,99.0,91.0,98.0,98.0,97.0,30.0,99.0,96.0,64.0,,97.0,91.0,93.0,99.0,,73.0,99.0,100.0,,,,,,,,,,,,,,,,,,91.0,90.0,95.0,90.0,82.0,96.0,92.0,90.0,
08X530 - Longwood Preparatory Academy,,64.0,73.0,63.0,90.0,85.0,90.0,91.0,67.0,65.0,86.0,71.0,61.0,73.0,83.0,,89.0,,,70.0,88.0,96.0,,99.0,98.0,77.0,97.0,97.0,91.0,76.0,90.0,94.0,72.0,,95.0,97.0,87.0,89.0,,78.0,98.0,87.0,,,,,,,,,,,,,,,,,,96.0,93.0,98.0,96.0,86.0,98.0,96.0,93.0,
08X537 - Bronx Arena High School,,81.0,98.0,91.0,98.0,96.0,100.0,100.0,94.0,94.0,99.0,86.0,84.0,99.0,96.0,,82.0,,,84.0,73.0,91.0,,94.0,89.0,98.0,66.0,89.0,80.0,73.0,63.0,76.0,82.0,,94.0,73.0,89.0,,,67.0,81.0,100.0,,,,,,,,,,,,,,,,,,98.0,100.0,100.0,97.0,88.0,97.0,100.0,99.0,
08X558 - Westchester Square Academy,,61.0,68.0,70.0,85.0,78.0,92.0,88.0,64.0,50.0,75.0,59.0,51.0,69.0,82.0,,88.0,,,58.0,79.0,87.0,,92.0,89.0,57.0,85.0,88.0,78.0,45.0,68.0,73.0,67.0,,82.0,56.0,66.0,90.0,,66.0,77.0,70.0,,,,,,,,,,,,,,,,,,93.0,88.0,93.0,91.0,79.0,93.0,93.0,84.0,
08X561 - Bronx Compass High School,,63.0,76.0,69.0,88.0,79.0,91.0,92.0,68.0,55.0,86.0,66.0,59.0,76.0,84.0,,87.0,,,61.0,80.0,94.0,,98.0,97.0,67.0,92.0,91.0,87.0,39.0,79.0,83.0,56.0,,91.0,77.0,74.0,94.0,,67.0,91.0,92.0,,,,,,,,,,,,,,,,,,96.0,94.0,97.0,97.0,87.0,98.0,98.0,94.0,
08X562 - Pugsley Preparatory Academy,,59.0,60.0,63.0,72.0,74.0,80.0,75.0,57.0,39.0,73.0,55.0,52.0,55.0,73.0,,93.0,,,59.0,86.0,91.0,,97.0,95.0,74.0,95.0,97.0,91.0,26.0,90.0,89.0,62.0,,87.0,87.0,80.0,93.0,,70.0,88.0,88.0,,,,,,,,,,,,,,,,,,90.0,94.0,92.0,91.0,83.0,92.0,91.0,85.0,
08X636 - Virtual Innovators Academy,,75.0,95.0,85.0,92.0,84.0,95.0,96.0,82.0,95.0,93.0,83.0,73.0,97.0,93.0,,92.0,,,62.0,100.0,96.0,,100.0,99.0,88.0,96.0,99.0,98.0,75.0,96.0,96.0,65.0,,96.0,100.0,97.0,,,90.0,95.0,98.0,,,,,,,,,,,,,,,,,,91.0,81.0,96.0,91.0,95.0,90.0,93.0,99.0,
09X004 - P.S./M.S. 004 Crotona Park West,,91.0,99.0,97.0,100.0,99.0,100.0,100.0,96.0,97.0,97.0,75.0,85.0,100.0,99.0,,99.0,,,92.0,97.0,98.0,100.0,100.0,99.0,100.0,98.0,100.0,98.0,90.0,98.0,97.0,95.0,97.0,97.0,100.0,99.0,100.0,,95.0,100.0,98.0,,,,,,,,,,,,,,,100.0,100.0,100.0,97.0,97.0,99.0,99.0,96.0,99.0,99.0,93.0,100.0
09X022 - J.H.S. 022 Jordan L. Mott,,65.0,68.0,70.0,78.0,82.0,82.0,83.0,67.0,48.0,76.0,63.0,57.0,60.0,76.0,,82.0,,,51.0,68.0,91.0,,93.0,98.0,72.0,71.0,95.0,84.0,34.0,70.0,73.0,47.0,,68.0,88.0,68.0,89.0,,47.0,65.0,84.0,,,,,,,,,,,,,,,,,,94.0,93.0,95.0,95.0,91.0,96.0,96.0,96.0,
09X117 - I.S. 117 Joseph H. Wade,,67.0,71.0,72.0,80.0,83.0,87.0,81.0,70.0,44.0,78.0,62.0,60.0,56.0,82.0,,83.0,,,57.0,69.0,82.0,,87.0,92.0,69.0,84.0,93.0,72.0,13.0,80.0,79.0,68.0,,66.0,78.0,78.0,92.0,,61.0,74.0,70.0,,,,,,,,,,,,,,,,,,98.0,99.0,99.0,97.0,92.0,98.0,98.0,96.0,
09X128 - Mott Hall III,,66.0,58.0,68.0,81.0,76.0,85.0,79.0,63.0,46.0,76.0,56.0,53.0,53.0,75.0,,90.0,,,63.0,85.0,90.0,,94.0,98.0,55.0,90.0,94.0,94.0,17.0,89.0,86.0,57.0,,76.0,83.0,85.0,,,70.0,86.0,93.0,,,,,,,,,,,,,,,,,,92.0,92.0,91.0,88.0,79.0,92.0,92.0,83.0,
09X218 - P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,,62.0,66.0,64.0,78.0,84.0,89.0,77.0,62.0,51.0,84.0,55.0,58.0,59.0,76.0,,81.0,,,65.0,78.0,86.0,,89.0,94.0,61.0,76.0,90.0,77.0,41.0,64.0,71.0,60.0,85.0,74.0,85.0,71.0,71.0,,39.0,74.0,69.0,,,,,,,,,,,,,,,,,93.0,96.0,98.0,98.0,96.0,91.0,97.0,97.0,90.0,
09X219 - I.S. 219 New Venture School,,69.0,71.0,72.0,81.0,81.0,86.0,83.0,74.0,50.0,80.0,67.0,64.0,63.0,81.0,,87.0,,,79.0,80.0,95.0,,93.0,92.0,77.0,84.0,94.0,86.0,42.0,92.0,82.0,80.0,,81.0,89.0,88.0,100.0,,66.0,83.0,92.0,,,,,,,,,,,,,,,,,,96.0,96.0,98.0,98.0,93.0,97.0,98.0,91.0,
09X227 - Bronx Collegiate Academy,,69.0,86.0,79.0,94.0,86.0,98.0,96.0,76.0,75.0,85.0,72.0,64.0,85.0,89.0,,94.0,,,87.0,100.0,98.0,,100.0,99.0,95.0,98.0,100.0,95.0,91.0,99.0,94.0,91.0,,100.0,84.0,97.0,91.0,,96.0,99.0,100.0,,,,,,,,,,,,,,,,,,95.0,91.0,97.0,92.0,74.0,99.0,96.0,91.0,
09X229 - I.S. 229 Roland Patterson,,60.0,59.0,62.0,78.0,77.0,87.0,79.0,60.0,35.0,70.0,45.0,50.0,38.0,74.0,,78.0,,,37.0,67.0,81.0,,89.0,89.0,79.0,81.0,95.0,68.0,22.0,80.0,70.0,44.0,,56.0,82.0,70.0,80.0,,38.0,59.0,83.0,,,,,,,,,,,,,,,,,,94.0,99.0,98.0,95.0,90.0,98.0,97.0,89.0,
09X231 - Eagle Academy for Young Men,,68.0,71.0,76.0,84.0,73.0,87.0,91.0,70.0,45.0,77.0,55.0,61.0,53.0,79.0,,87.0,,,50.0,76.0,87.0,,78.0,98.0,66.0,88.0,94.0,82.0,31.0,73.0,79.0,61.0,,78.0,80.0,76.0,83.0,,57.0,76.0,83.0,,,,,,,,,,,,,,,,,,87.0,88.0,92.0,89.0,87.0,94.0,94.0,89.0,
09X232 - I.S. 232,,64.0,66.0,68.0,78.0,81.0,86.0,84.0,64.0,47.0,73.0,61.0,58.0,55.0,77.0,,93.0,,,77.0,79.0,95.0,,98.0,95.0,81.0,95.0,98.0,93.0,62.0,89.0,96.0,78.0,,91.0,85.0,84.0,93.0,,65.0,96.0,93.0,,,,,,,,,,,,,,,,,,91.0,89.0,94.0,92.0,90.0,96.0,94.0,90.0,
"09X241 - Urban Assembly School for Applied Math and Science, The",,64.0,67.0,67.0,85.0,78.0,91.0,84.0,66.0,58.0,76.0,56.0,57.0,63.0,80.0,,90.0,,,72.0,96.0,90.0,,100.0,96.0,81.0,95.0,96.0,90.0,58.0,85.0,88.0,79.0,,92.0,81.0,87.0,92.0,,81.0,96.0,95.0,,,,,,,,,,,,,,,,,,94.0,92.0,95.0,93.0,92.0,95.0,95.0,89.0,
09X250 - Eximius College Preparatory Academy: A College Board School,,68.0,72.0,77.0,90.0,83.0,89.0,92.0,73.0,63.0,82.0,75.0,61.0,77.0,85.0,,89.0,,,69.0,85.0,90.0,,98.0,94.0,91.0,91.0,92.0,87.0,71.0,86.0,90.0,79.0,,93.0,94.0,84.0,94.0,,74.0,88.0,85.0,,,,,,,,,,,,,,,,,,91.0,87.0,90.0,85.0,72.0,92.0,87.0,85.0,
09X252 - Mott Hall Bronx High School,,69.0,79.0,79.0,90.0,82.0,93.0,93.0,71.0,62.0,84.0,64.0,58.0,76.0,88.0,,80.0,,,48.0,89.0,87.0,,99.0,95.0,73.0,83.0,87.0,77.0,40.0,71.0,78.0,47.0,,80.0,85.0,73.0,97.0,,77.0,86.0,85.0,,,,,,,,,,,,,,,,,,92.0,96.0,96.0,94.0,87.0,97.0,96.0,93.0,
09X260 - Bronx Center for Science and Mathematics,,71.0,86.0,81.0,91.0,85.0,93.0,93.0,76.0,69.0,86.0,73.0,62.0,83.0,86.0,,82.0,,,69.0,81.0,89.0,,98.0,97.0,81.0,79.0,93.0,77.0,59.0,65.0,79.0,58.0,,89.0,99.0,78.0,93.0,,66.0,78.0,93.0,,,,,,,,,,,,,,,,,,93.0,94.0,95.0,91.0,83.0,94.0,93.0,87.0,
09X263 - Validus Preparatory Academy,,62.0,71.0,64.0,82.0,81.0,82.0,79.0,67.0,50.0,82.0,71.0,54.0,64.0,80.0,,70.0,,,31.0,63.0,77.0,,94.0,89.0,46.0,69.0,87.0,77.0,11.0,63.0,77.0,49.0,,40.0,70.0,39.0,96.0,,37.0,50.0,63.0,,,,,,,,,,,,,,,,,,83.0,77.0,84.0,84.0,82.0,77.0,83.0,81.0,
09X297 - Morris Academy for Collaborative Studies,,63.0,70.0,72.0,87.0,81.0,89.0,93.0,70.0,58.0,78.0,68.0,56.0,75.0,80.0,,87.0,,,57.0,90.0,95.0,,95.0,97.0,89.0,93.0,96.0,96.0,52.0,92.0,86.0,61.0,,89.0,88.0,85.0,94.0,,78.0,91.0,87.0,,,,,,,,,,,,,,,,,,96.0,96.0,98.0,97.0,94.0,97.0,97.0,95.0,
09X303 - I.S. X303 Leadership & Community Service,,73.0,80.0,77.0,90.0,89.0,87.0,90.0,77.0,68.0,90.0,69.0,62.0,80.0,84.0,,92.0,,,80.0,97.0,96.0,,98.0,98.0,93.0,94.0,99.0,93.0,80.0,92.0,97.0,77.0,,90.0,91.0,95.0,99.0,,88.0,93.0,91.0,,,,,,,,,,,,,,,,,,96.0,93.0,98.0,95.0,93.0,97.0,96.0,92.0,
09X313 - I.S. 313 School of Leadership Development,,62.0,65.0,68.0,78.0,82.0,88.0,81.0,68.0,43.0,73.0,58.0,58.0,50.0,78.0,,86.0,,,68.0,86.0,78.0,,92.0,93.0,56.0,76.0,91.0,70.0,36.0,81.0,69.0,56.0,,67.0,95.0,79.0,,,49.0,70.0,69.0,,,,,,,,,,,,,,,,,,94.0,99.0,98.0,99.0,87.0,97.0,98.0,96.0,
09X323 - Bronx Writing Academy,,76.0,76.0,76.0,84.0,87.0,84.0,92.0,76.0,55.0,82.0,73.0,65.0,68.0,84.0,,92.0,,,75.0,100.0,97.0,,87.0,100.0,81.0,94.0,99.0,94.0,41.0,88.0,88.0,72.0,,98.0,86.0,94.0,93.0,,77.0,92.0,94.0,,,,,,,,,,,,,,,,,,87.0,82.0,91.0,91.0,86.0,95.0,92.0,86.0,
09X324 - Bronx Early College Academy for Teaching & Learning,,63.0,70.0,72.0,83.0,77.0,91.0,86.0,68.0,59.0,79.0,70.0,59.0,69.0,80.0,,93.0,,,63.0,86.0,96.0,,100.0,100.0,85.0,83.0,93.0,91.0,53.0,80.0,85.0,57.0,,85.0,93.0,84.0,100.0,,62.0,94.0,89.0,,,,,,,,,,,,,,,,,,96.0,94.0,97.0,94.0,84.0,95.0,96.0,90.0,
09X327 - Comprehensive Model School Project M.S. 327,,63.0,71.0,72.0,84.0,81.0,88.0,89.0,66.0,59.0,82.0,63.0,57.0,66.0,79.0,,86.0,,,80.0,92.0,96.0,,94.0,98.0,73.0,90.0,88.0,93.0,53.0,83.0,92.0,82.0,,96.0,78.0,85.0,99.0,,81.0,97.0,91.0,,,,,,,,,,,,,,,,,,96.0,100.0,98.0,93.0,90.0,97.0,96.0,90.0,
09X328 - New Millennium Bronx Academy of the Arts,,63.0,73.0,67.0,79.0,81.0,85.0,93.0,67.0,65.0,88.0,58.0,65.0,75.0,81.0,,89.0,,,72.0,73.0,84.0,,86.0,98.0,83.0,94.0,100.0,84.0,87.0,82.0,70.0,70.0,,83.0,93.0,89.0,,,65.0,73.0,71.0,,,,,,,,,,,,,,,,,,99.0,100.0,100.0,100.0,100.0,99.0,98.0,99.0,
09X329 - DreamYard Preparatory School,,66.0,78.0,73.0,88.0,83.0,91.0,92.0,73.0,54.0,81.0,65.0,57.0,71.0,84.0,,77.0,,,51.0,71.0,89.0,,97.0,92.0,77.0,69.0,85.0,70.0,25.0,63.0,76.0,49.0,,58.0,69.0,79.0,88.0,,65.0,70.0,79.0,,,,,,,,,,,,,,,,,,98.0,95.0,99.0,99.0,97.0,99.0,100.0,98.0,
09X339 - I.S. 339,,73.0,82.0,77.0,83.0,89.0,92.0,90.0,75.0,59.0,82.0,68.0,65.0,73.0,85.0,,96.0,,,82.0,100.0,99.0,,100.0,100.0,91.0,100.0,99.0,100.0,68.0,100.0,97.0,89.0,,97.0,98.0,92.0,100.0,,74.0,99.0,90.0,,,,,,,,,,,,,,,,,,87.0,70.0,90.0,80.0,82.0,88.0,84.0,81.0,
09X350 - New Directions Secondary School,,62.0,83.0,71.0,90.0,85.0,96.0,91.0,78.0,74.0,88.0,75.0,65.0,84.0,85.0,,79.0,,,48.0,92.0,93.0,,97.0,91.0,88.0,86.0,92.0,92.0,62.0,85.0,90.0,66.0,,82.0,95.0,92.0,,,80.0,88.0,95.0,,,,,,,,,,,,,,,,,,99.0,99.0,100.0,99.0,94.0,100.0,100.0,99.0,
09X361 - The Highbridge Green School,,72.0,74.0,77.0,89.0,87.0,94.0,92.0,75.0,63.0,84.0,69.0,63.0,70.0,85.0,,92.0,,,79.0,90.0,97.0,,97.0,98.0,87.0,90.0,99.0,98.0,67.0,91.0,91.0,78.0,,86.0,98.0,90.0,95.0,,75.0,78.0,91.0,,,,,,,,,,,,,,,,,,96.0,92.0,98.0,96.0,90.0,98.0,98.0,96.0,
09X365 - Academy for Language and Technology,,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,,86.0,,,77.0,83.0,92.0,,93.0,98.0,87.0,90.0,97.0,93.0,74.0,89.0,97.0,69.0,,80.0,90.0,84.0,100.0,,79.0,90.0,90.0,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,
09X412 - Bronx High School of Business,,60.0,73.0,67.0,86.0,75.0,84.0,87.0,67.0,61.0,79.0,60.0,57.0,70.0,81.0,,79.0,,,44.0,77.0,90.0,,92.0,93.0,61.0,90.0,92.0,84.0,41.0,74.0,84.0,49.0,,60.0,86.0,77.0,87.0,,62.0,86.0,81.0,,,,,,,,,,,,,,,,,,97.0,89.0,99.0,95.0,89.0,99.0,98.0,91.0,
09X413 - Bronx High School for Medical Science,,61.0,70.0,64.0,82.0,81.0,84.0,86.0,66.0,52.0,76.0,52.0,53.0,66.0,79.0,,91.0,,,64.0,90.0,86.0,,95.0,99.0,75.0,92.0,95.0,89.0,48.0,88.0,90.0,68.0,,82.0,72.0,84.0,90.0,,83.0,88.0,87.0,,,,,,,,,,,,,,,,,,90.0,82.0,95.0,90.0,90.0,89.0,93.0,89.0,
09X454 - Science and Technology Academy: A Mott Hall School,,68.0,76.0,78.0,84.0,89.0,90.0,85.0,71.0,54.0,77.0,65.0,56.0,62.0,82.0,,93.0,,,69.0,94.0,95.0,,96.0,99.0,90.0,95.0,94.0,95.0,43.0,93.0,83.0,77.0,,96.0,91.0,87.0,97.0,,76.0,96.0,95.0,,,,,,,,,,,,,,,,,,94.0,90.0,95.0,92.0,86.0,96.0,96.0,85.0,
"09X505 - Bronx School for Law, Government and Justice",,68.0,69.0,74.0,87.0,85.0,91.0,92.0,70.0,49.0,83.0,68.0,59.0,72.0,83.0,,83.0,,,52.0,82.0,87.0,,96.0,93.0,51.0,88.0,90.0,81.0,43.0,77.0,82.0,58.0,,78.0,87.0,68.0,92.0,,69.0,85.0,72.0,,,,,,,,,,,,,,,,,,90.0,86.0,94.0,93.0,89.0,94.0,94.0,90.0,
09X517 - Frederick Douglass Academy III Secondary School,,78.0,88.0,84.0,90.0,91.0,93.0,90.0,83.0,73.0,90.0,79.0,69.0,86.0,92.0,,91.0,,,59.0,96.0,94.0,,100.0,100.0,84.0,92.0,99.0,93.0,58.0,84.0,89.0,47.0,,93.0,89.0,89.0,96.0,,72.0,99.0,95.0,,,,,,,,,,,,,,,,,,99.0,96.0,99.0,99.0,90.0,99.0,99.0,96.0,
09X525 - Bronx Leadership Academy High School,,64.0,74.0,68.0,85.0,78.0,89.0,89.0,69.0,52.0,82.0,72.0,61.0,68.0,82.0,,89.0,,,70.0,87.0,95.0,,96.0,99.0,80.0,93.0,97.0,92.0,63.0,91.0,92.0,67.0,,77.0,84.0,80.0,100.0,,71.0,93.0,79.0,,,,,,,,,,,,,,,,,,93.0,94.0,96.0,91.0,80.0,95.0,93.0,87.0,
09X543 - High School for Violin and Dance,,57.0,60.0,57.0,83.0,74.0,90.0,86.0,61.0,58.0,76.0,56.0,53.0,53.0,75.0,,83.0,,,61.0,79.0,95.0,,100.0,93.0,67.0,89.0,100.0,85.0,50.0,88.0,93.0,53.0,,67.0,88.0,70.0,,,64.0,88.0,88.0,,,,,,,,,,,,,,,,,,90.0,,95.0,89.0,80.0,100.0,94.0,89.0,
09X564 - Claremont International HS,,73.0,87.0,88.0,92.0,89.0,94.0,91.0,84.0,76.0,91.0,78.0,76.0,81.0,91.0,,93.0,,,82.0,91.0,97.0,,99.0,99.0,98.0,95.0,98.0,98.0,78.0,91.0,95.0,82.0,,100.0,74.0,96.0,98.0,,92.0,99.0,99.0,,,,,,,,,,,,,,,,,,92.0,,94.0,91.0,84.0,95.0,93.0,92.0,
09X568 - Young Women's Leadership School of the Bronx,,65.0,67.0,69.0,90.0,81.0,87.0,82.0,65.0,55.0,75.0,53.0,50.0,72.0,81.0,,91.0,,,80.0,87.0,93.0,,99.0,97.0,84.0,93.0,95.0,88.0,55.0,76.0,95.0,76.0,,92.0,73.0,86.0,92.0,,88.0,97.0,83.0,,,,,,,,,,,,,,,,,,97.0,92.0,98.0,97.0,90.0,98.0,98.0,95.0,
09X593 - South Bronx International Middle School,,64.0,73.0,73.0,81.0,82.0,84.0,88.0,71.0,59.0,80.0,66.0,62.0,67.0,78.0,,76.0,,,40.0,71.0,80.0,,92.0,93.0,67.0,84.0,90.0,86.0,35.0,67.0,67.0,37.0,,71.0,84.0,63.0,100.0,,61.0,68.0,69.0,,,,,,,,,,,,,,,,,,95.0,92.0,98.0,97.0,92.0,98.0,97.0,97.0,
09X594 - New Pathways Academy,,76.0,86.0,81.0,89.0,87.0,91.0,88.0,83.0,61.0,85.0,76.0,67.0,80.0,89.0,,94.0,,,72.0,88.0,97.0,,94.0,99.0,89.0,100.0,97.0,94.0,65.0,98.0,94.0,88.0,,94.0,100.0,93.0,95.0,,80.0,98.0,98.0,,,,,,,,,,,,,,,,,,94.0,89.0,95.0,93.0,85.0,97.0,95.0,89.0,
09X644 - Bronx Debate Academy,,68.0,64.0,69.0,76.0,77.0,82.0,79.0,65.0,44.0,76.0,56.0,56.0,61.0,78.0,,100.0,,,80.0,100.0,100.0,,100.0,100.0,96.0,100.0,100.0,100.0,60.0,100.0,100.0,92.0,,100.0,100.0,100.0,,,96.0,100.0,100.0,,,,,,,,,,,,,,,,,,98.0,95.0,100.0,98.0,93.0,99.0,99.0,98.0,
10X003 - P.S. 3 Raul Julia Micro Society,,71.0,81.0,74.0,86.0,91.0,95.0,89.0,73.0,60.0,87.0,68.0,66.0,70.0,82.0,,82.0,93.0,86.0,71.0,95.0,91.0,89.0,92.0,93.0,68.0,90.0,94.0,80.0,82.0,89.0,83.0,70.0,94.0,72.0,86.0,73.0,,100.0,56.0,80.0,73.0,100.0,,,,,,,,,,,,,,98.0,100.0,98.0,99.0,100.0,100.0,100.0,99.0,100.0,100.0,99.0,100.0
10X015 - P.S. X015 Institute for Environmental Learning,,62.0,54.0,64.0,80.0,77.0,86.0,77.0,59.0,46.0,72.0,50.0,48.0,60.0,71.0,,74.0,,,53.0,57.0,82.0,,84.0,86.0,42.0,58.0,88.0,48.0,43.0,49.0,54.0,52.0,78.0,58.0,67.0,61.0,79.0,,37.0,44.0,47.0,,,,,,,,,,,,,,,,,89.0,88.0,90.0,90.0,90.0,88.0,88.0,92.0,83.0,
"10X020 - PS/MS 20 P.O.George J. Werdann, III",,73.0,75.0,75.0,82.0,82.0,89.0,81.0,72.0,41.0,86.0,49.0,57.0,67.0,80.0,,84.0,,,53.0,79.0,83.0,,85.0,89.0,65.0,81.0,89.0,81.0,31.0,70.0,72.0,55.0,89.0,88.0,74.0,66.0,92.0,,53.0,81.0,77.0,,,,,,,,,,,,,,,50.0,80.0,97.0,91.0,81.0,93.0,90.0,87.0,94.0,93.0,82.0,100.0
